id,post_id,open_date,street,address,place_type,shop_centre,dns,lat,lon,response,district,post2,is_center,price,parking_count,parking_min_distance,finance_count,shop_count,distance_100,distance_500,cafe_count,culture_count,job_gov_count,metro_count,metro_min_distance,transport_count,transport_min_distance,working_days,work_hours,weekday_availability,office_hours,is_moscow
18017,,2017,пл. Преображенская,"пл. Преображенская, дом 8",other,FALSE,FALSE,51.2795202,37.5020102,"Москва, Преображенская улица, Салтыково, Губкин, Губкинский городской округ, Белгородская область, ЦФО, 309183, РФ",Салтыково,309183,FALSE,227892,51,22.43775579,7,16,7.648714286,139.2038571,10,2,9,1,210.6025153,19,90.5048832,6,11,1,,TRUE
5546,,2015,пл. Преображенская,"пл. Преображенская, д. 8",ТП,FALSE,FALSE,51.2795202,37.5020102,"Москва, Преображенская улица, Салтыково, Губкин, Губкинский городской округ, Белгородская область, ЦФО, 309183, РФ",Салтыково,309183,FALSE,227892,51,22.43775579,7,16,7.648714286,139.2038571,10,2,9,1,210.6025153,19,90.5048832,6,11,1,,TRUE
6211,,2015,пл. Преображенская,"пл. Преображенская, д. 8  ТП №2",ТП,FALSE,FALSE,51.2795202,37.5020102,"Москва, Преображенская улица, Салтыково, Губкин, Губкинский городской округ, Белгородская область, ЦФО, 309183, РФ",Салтыково,309183,FALSE,227892,39,39.88874034,8,15,11.27528571,111.1054286,12,2,15,1,434.9312377,23,25.47171368,6,11,1,,TRUE
18067,,2017,пл. Преображенская,"пл. Преображенская, дом 8",other,FALSE,FALSE,51.2795202,37.5020102,"Москва, Преображенская улица, Салтыково, Губкин, Губкинский городской округ, Белгородская область, ЦФО, 309183, РФ",Салтыково,309183,FALSE,227892,51,22.43775579,7,16,7.648714286,139.2038571,10,2,9,1,210.6025153,19,90.5048832,6,11,1,,TRUE
12748,141551,2017,рп Андреевка,"рп Андреевка, дом 3 Б",ОПС Б1,FALSE,FALSE,52.191502,30.293079,"Андреевка, Ровенскослободский сельский Совет, Речицкий район, Гомельская область, Беларусь",Речицкий,Гомельская область,FALSE,,21,74.39516269,3,15,2.988571429,23.84842857,5,1,2,0,,7,164.2554097,6,11,1,,FALSE
14079,143362,2017,ул. Кирова,"ул. Кирова, дом 19",ОПС Б1_2,FALSE,FALSE,55.5375785,37.0572074,"улица Кирова, Апрелевка, Наро-Фоминский городской округ, Московская область, ЦФО, 143362, РФ",Наро-Фоминский городской округ,143362,FALSE,,3,32.43479673,0,2,0.8885714286,41.31785714,1,0,2,0,,9,285.0746269,5,9,0,,FALSE
16741,143363,2017,ул. Парковая,"ул. Парковая, дом 4/1",ОПС Б1,FALSE,FALSE,55.5604717,37.0636639,"Парковая улица, Апрелевка, Наро-Фоминский городской округ, Московская область, ЦФО, 143363, РФ",Наро-Фоминский городской округ,143363,FALSE,,2,324.4174998,1,5,2.132857143,19.461,3,2,2,0,,1,131.3517636,5,9,1,,FALSE
1408,,2013,прт Ленина,"прт Ленина, 8",КЦ,FALSE,FALSE,55.79719,37.9472786,"проспект Ленина, Балашиха-1, Балашиха, городской округ Балашиха, Московская область, ЦФО, 143907, РФ",Балашиха,143907,FALSE,82897,41,77.21266412,5,24,3.715285714,70.91328571,17,4,16,0,,6,82.43482341,7,12,2,"пн.—пт.: 09:00—21:00 сб., вс.: 10:00—17:00",FALSE
11687,143914,2017,мкр. Дзержинского,"мкр. Дзержинского, дом 38",ОПС Б1_2,FALSE,FALSE,55.7784708,37.8956007,"микрорайон Дзержинского, Балашиха, городской округ Балашиха, Московская область, ЦФО, РФ",городской округ Балашиха,ЦФО,FALSE,82897,15,72.85202903,0,17,1.558142857,32.025,5,1,2,0,,8,97.01492537,7,11,2,"ср.—вс.: 09:00—18:00, пн.: 11:00—20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00",FALSE
19394,143980,2018,мкр. Железнодорожный,"мкр. Железнодорожный, ул. Пролетарская, дом 2",ОПС Б1_2,FALSE,FALSE,55.7455906,37.9831159,"Железнодорожный проезд, Микрорайон Керамик, Балашиха, городской округ Балашиха, Московская область, ЦФО, 143980, РФ",Балашиха,143980,FALSE,82897,26,96.13840546,3,24,4.043285714,74.704,11,4,11,0,,14,201.543664,6,11,1,,FALSE
18267,143981,2017,мкр. Кучино,"мкр. Кучино, ул. Южная, дом 3",ОПС Б1,FALSE,FALSE,55.7533202,37.9585353,"Микрорайон Кучино, Балашиха, городской округ Балашиха, Московская область, ЦФО, РФ",городской округ Балашиха,ЦФО,FALSE,82897,12,151.4943754,1,17,0.7242857143,54.17442857,5,3,5,0,,3,172.3815984,5,9,1,['вт.—пт.: 10:00—19:00 сб.: 10:00—18:00'],FALSE
14934,143989,2017,ул. Главная,"ул. Главная, дом 22 Б",ОПС Б1,FALSE,FALSE,55.7503486,37.9933505,"Главная улица, 2 квартал, Железнодорожный, Балашиха, городской округ Балашиха, Московская область, ЦФО, 143989, РФ",Железнодорожный,143989,FALSE,82897,38,62.44177506,1,26,4.640285714,40.88471429,6,1,7,0,,9,35.27254417,6,9,1,"пн.—пт.: 10:00—19:00, вт.—сб.: 10:00—19:00",FALSE
16444,143903,,ул. Октябрьская,"ул. Октябрьская, дом 9",ОПС Б1,FALSE,FALSE,55.8060013,37.9806605,"Октябрьская улица, Балашиха-3, Балашиха, городской округ Балашиха, Московская область, ЦФО, 143903, РФ",Балашиха,143903,FALSE,82897,27,109.1722435,3,20,1.558,50.36185714,13,2,10,0,,11,274.3560069,6,11,1,,FALSE
14065,143909,2017,ул. Солнечная,"ул. Солнечная, дом 2",ОПС Б1,FALSE,FALSE,55.7456053,37.9127463,"Солнечная улица, Микрорайон Салтыковка, Балашиха, городской округ Балашиха, Московская область, ЦФО, 143930, РФ",Балашиха,143930,FALSE,82897,22,24.67205262,1,12,1.177857143,26.88785714,1,4,0,0,,9,250.6507458,5,9,0,['пн.—пт.: 10:00—19:00'],FALSE
16370,143900,2017,ул. Фадеева,"ул. Фадеева, дом 4 А",ОПС Б1_2,FALSE,FALSE,55.7949599,37.9766545,"улица Фадеева, Южный, Балашиха, городской округ Балашиха, Московская область, ЦФО, 143900, РФ",Балашиха,143900,FALSE,82897,27,181.9977748,4,28,0.9752857143,36.933,9,1,2,0,,9,276.273656,5,9,0,['пн.—пт.: 10:00—19:00'],FALSE
14977,142050,,ул. Кирова,"ул. Кирова, дом 3 А",ОПС Б1,FALSE,FALSE,55.3313876,37.8561246,"Белые Столбы, Домодедово, городской округ Домодедово, Московская область, ЦФО, 142050, РФ",городской округ Домодедово,142050,FALSE,,0,,0,0,0.058,0.1167142857,0,0,0,0,,6,153.2887412,6,11,1,,FALSE
12247,141342,2017,ул. Московская,"ул. Московская, дом 21",ОПС Б1,FALSE,FALSE,55.5304436,39.0900466,"Богородское, городской округ Ликино-Дулёво, Московская область, ЦФО, РФ",Московская область,ЦФО,FALSE,,19,56.29260348,0,7,0.1131428571,9.553857143,1,2,2,0,,4,114.1620317,6,11,1,,FALSE
26910,,2019,ул. Ленина,"ул. Ленина, дом 110",other,FALSE,FALSE,54.9024172,37.3603624,"улица Ленина, Серпухов, городской округ Серпухов, Московская область, ЦФО, 142253, РФ",городской округ Серпухов,142253,FALSE,,5,459.2293806,0,6,0.6504285714,21.313,0,3,1,0,,5,198.441522,6,11,1,,FALSE
